,index,count,co_ord,frame_no
266,c639f8877f208726,1,"[array([ 560,   56, 1918, 1066])]",['frame-9.jpg']
267,eaff5d0f83c10183,1,"[array([   3,   18,  700, 1067])]",['frame-42.jpg']
268,b1f14db6d9594862,1,"[array([1276,    2, 1917, 1066])]",['frame-42.jpg']
269,87a5d7d3d3c3880a,1,"[array([ 836,   74, 1917, 1072])]",['frame-143.jpg']
270,d02a31d22f3d9e9a,1,"[array([   1,  299,  532, 1065])]",['frame-143.jpg']
271,bf4b16e88ed80279,1,"[array([ 651,    4, 1780, 1066])]",['frame-149.jpg']
272,b7b6a928cec55419,1,"[array([ 460,    5, 1656, 1066])]",['frame-110.jpg']
273,d5eacc9d9a1a10d3,1,"[array([1539,  160, 1917, 1014])]",['frame-110.jpg']
274,e1e196e71ea40ee2,1,"[array([ 765,   28, 1858, 1068])]",['frame-72.jpg']
275,c3c82f39d80d3ef0,1,"[array([ 477,   31, 1538, 1066])]",['frame-30.jpg']
276,b7b75999d0c8d0c8,1,"[array([ 904,  133, 1918, 1068])]",['frame-40.jpg']
277,bb92a6a0a1bda1a7,1,"[array([ 147,   14, 1206, 1067])]",['frame-40.jpg']
278,96c46969a6275bb2,1,"[array([ 364,   42, 1043, 1066])]",['frame-14.jpg']
279,bbf1e0e0453354ce,1,"[array([1008,  567, 1593, 1072])]",['frame-14.jpg']
280,89d1bebc54cb51a1,1,"[array([1395,  517, 1563,  886])]",['frame-14.jpg']
281,dbf8fb72404f0390,1,"[array([206, 539, 458, 879])]",['frame-14.jpg']
282,b934c619c613df64,1,"[array([   0,    0, 1057, 1071])]",['frame-109.jpg']
283,c82a749c9dcc6f38,1,"[array([1101,    2, 1917, 1064])]",['frame-52.jpg']
284,9b2566896c66b94d,1,"[array([  16,   27, 1089, 1071])]",['frame-52.jpg']
285,c03f7890533ef0f1,1,"[array([ 174,   22, 1653, 1065])]",['frame-113.jpg']
286,c710c731cec3bcc6,1,"[array([1324,    3, 1826,  742])]",['frame-113.jpg']
287,eea505727a5199b8,1,"[array([1126,   81, 1918, 1062])]",['frame-4.jpg']
288,cec883ff1071d782,1,"[array([ 689,  498, 1268, 1068])]",['frame-4.jpg']
289,f72c9286c7304ce7,1,"[array([ 128,  340,  835, 1061])]",['frame-4.jpg']
290,fde1811f1e3e800f,1,"[array([  74,  211,  975, 1075])]",['frame-39.jpg']
291,b343ad52e952bc49,1,"[array([ 627,    0, 1212, 1050])]",['frame-39.jpg']
292,c12bb7e2339bcac0,1,"[array([1402,  537, 1916, 1074])]",['frame-96.jpg']
293,9de59570a4f40d9a,1,"[array([ 855,   81, 1314, 1070])]",['frame-96.jpg']
294,9be7c869c49b990c,1,"[array([   2,  534,  688, 1074])]",['frame-96.jpg']
295,9b68a79b4da590c3,1,"[array([ 920,  526, 1390, 1071])]",['frame-96.jpg']
296,f088b43c4fd1741f,1,"[array([295, 506, 574, 907])]",['frame-96.jpg']
